textID,text,sentiment
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,1
1cf3ac7b6a," No prob, skittles we always gonna have yall`s backs. The true sweeties dont play.. LOL But yea we just got heated. We sry",0
e92d3d6ede, I want all the soldiers to come home so we don`t have to hear about anymore being killed.,2
7179b0d17c,is envious of people not in long-distance relationships...she`s all mushy with no one to cuddle.,0
9b05dc61ab," You know, you can read almost all your Tweets as some sort of disgusting euphamism.  It`s quite fun",1
427172cda4, ...as well as bell hooks Teaching to Transgress.  Sometimes I miss teaching & messing with bad system.,0
0c0d8f8839,happy Mother`s Day to all the moms out there,2
0336267c06,Everyone on the eastcoast... the rain hates us  let`s just all fly to Cali. LOL,0
5a58d282a5,"Cleaning my roooooooooom, about to continue playing with my DSI",1
c1112a3803," Unfortunately your fix didn`t work..   Oh well, I`m lovin` me some PeopleBrowsr anyways!",1
b2ee6c0ff9,rather excited about my hospital placement starting on monday. I get to give needles and take blood,2
5ebdc7d817,Hairspray in hair + lighter&bong = new haircut,1
7ad6e7eb8c, gaah rain for tomorrow,0
e0a172bc68,i cut my hand open!!!,0
4113a7166d, loool sheridan ive got swine flu but im still coming into skl tomorrow same way  hehe,1
9a55d83c79, yeh me 2,1
1206faee1b, prettty goooooooood   going to daaaaaancing in a mo and havnt studied much for maths :|,1
9f9f89fc88,"dont know why so tired today  bye, time for beddy",0
7556e8c6ad, Ohnoes!   That`s icky!,0
baf47d52eb,_127 poor baby  you need some aloe. Nope sorry no hints,0
1a97bf0e6c,Made a seamless connection to Toro Toro Quebec Two.,1
6cd4a862f5,_august84 haha...  may be.. hehe.. I might have been imported.  but i love the heat... love playing football on a hot day....,2
0a19903154, sounds like the muffler bearings are going bad,0
81f6f8ff89, I couldnt come to see you in Southend on the 2nd as I couldnt get the tickets :[ Ill have to come see you when you solo tour,1
cf30a8df0a, NEW motorcycle and you POPPED a cable already? wow-you ride HARD!,2
ee12b4db36, because you saved the frog. I thought I replied to that so it would make sense. so how does twitter work?  gehts abi gut?,1
f0815eb38d, Absolutely! Lookin` forward to it,1
c48674bca0,"thers not many peole tweeting tonight... well suppose it is friday...evry normal person is out partyin, but im skint",0
3dbb8c1489,get it right! I think I am obsessed with Hydes` voice @_@  I`ve chosen a guitar song to learn for the summer! Time to perfect picking!,2
7e6256edc4, LOL! I hate when that happens!! All hyped up and its over before you know it! Lunch sounds nice..hope you have a nice time.,1
a27b18cc35,At work and really slow for a beautiful day and a Friday.,2
27dafe2762, On what..,1
9f272e5698," thanks, I couldn`t find a way around it on iTunes though, found a little app called Switch that did the job nicely",2
dfaf24e6db,I`m at work trying hard not to succumb to the 'Poor me' mentality due to severe allergies.  Boo.,0
d4cc846912, What does it matter? We ALL love you.  Take your pick. HA!,2
d12199cfb8,"Actually I`ve been in here, holed up quite nicely, for hours. This is one of those times I regret never having married or gotten a cat",1
396c09853b,Working 930a-730p today. 1.5 hour lunch..8.5 hours work. Overtime = good. The fact that I`m already dead tired = very bad.,1
b8a74f424b," #TFARP *takes a moment to translate, then nods* You`re quite welcome.  Also, dear, it`s probably best if you stay here again-",2
d778d2e35a, It`s called a RipStick.  When I had a job I sold a lot of those...,1
a8b2b7feee,E3 2009 will be the first time I will not get to see G4TV`s E3 coverage since Comcast moved the  G4 channel from basic cable to premium,1
e0178922a5,At the airport waiting,1
9cf9045a3c,"Watching GH. I feel so bad for Carly.  OMG, so **** up.",0
4b29d6f894,Watching George Lopez. Went to my school and played some basketball. Today was pretty nice. And HOT!,2
78a2ff5167,I`m bummed that I can`t wear my sweet Nike kicks to work.,0
81898a8b44,The phones are lit up like christmas trees. Go to work people. You don`t have to get everything done on monday.,1
fafd8b23f9, that blip is NOT to be misconstrued as qs on last night`s convo... it`s just a song i really love & that rocks my morning,2
00de41698e,'The Complete Black Books' just arrived ... looking forward to some entertaining #tv nights!  #dvd,2
19af686703, _what_ did you do?  Let me guess... you skipped sports and bought a new pinkish outfit?,1
5be9c146a5,I think that mowing the lawn should not be allowed to be done by teenagers. It sucks! Well off to mow.,0
101bf94294, finished listening to Last Days of Krypton`s audio book! Loved it...so sad though...,1
a244d7aad7,Can`t I mix and match  Dumb drive in!,0
991ac1e45c, No! Why?,1
b9635c3533,_aloud  and that hindi flick `99` that came out a couple of weeks ago that never made it to the UK,0
c162ce503d,HOMELESS afterJune 1st.......,0
8c5a1638d7,VCenter is screwing up on me today.  More specifically the MSSQL server that it connects to.,0
5ba27f7ecc,"_x Hey 'Cameron', I know it was amazing and I have sunburn too  So my mum isn`t happy,, . & my throat kills . . Still <3 it",1
48a90031bd,"got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo",1
52d8a83d34," Trust me, that`s a GOOD thing. Your 40-something self will thank you.",2
26f03060be," No problem. Unfortunately, I think it was just something I had to sort out on my own.",1
af99e996db,_north27 http://twitpic.com/4jcjr - Mmm yummy... looks like an invitation to me,2
66ce4f66ad,fml my work uniform is on the washing line,0
c72547e5a4,"I`m going on an excursion this week, so I won`t be twitting....",1
e7de0750f9,oops! ignore last post  meant to be a direct message!,0
2841bb25e1," dude, saw your Twitter profile after a long time - love the background. way way cool!",2
7d6d750549, OH NO....do you think he`s lived out his lifespan?,1
97e28a96e8,"Um, why arent episodes 1-14 of Lost season 5 on abc?!  Good thing Im going to Vegas in the am to keep me distracted from this tragedy.",1
f43efa3560,MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,2
7b25c09b0f,": I`m sure lots of that studio equipment was collected analog stuff that can`t be bought anymore.    seriously, condolences.",0
a2cf6cc397," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",2
fcbdb80ef4, http://twitpic.com/4ukqe - haha cute and beautiful  U R cool Miley.^^,2
2987cae592," hehe, I can almost hear out of my right ear now  Can you yet?",2
b9d9d64cc5,i miss my puppies...,0
83f8de77c7,Just found out - http://tinyurl.com/qlrcec - the **** frenchies have set a precedent,1
2fdf8962ef, when u do get at me i will show u all the hotspots there is no where i dont kno when it comes to shoppin here lol,2
0e01333fa6,Ouch...waited to long to get eyebrows waxed,0
18ed98243c,"Going home  but when i get home , BLACK BERRY ! WOO HOO  . . . and get to see presten ! <3",2
754cb4d18e,F1 & Star Trek...what a great Sunday,2
f530f15848,I love all my friends      and drew were fun tonight,2
db11816c67, yes .. thats a problem   #prism #fail,0
90469c762f,watching 'That Thing You Do' on Comcast. Missing my boo like crrrrrazy!,0
00cdbbc17c,actually did progressive studying today..,1
0dc477a568,"gooooooodmorning world(: god bless, and have a great day!",2
327f200c22,I`m bored. No internet. I haven`t made it downtown or to the beach yet.,0
5cb61942ba,Yayz! Today`s is the day I call and see if I got that job! x3 I ish so happy... even though I slept horribly... So I`m kinda drained...,1
b5f306cbdb,All I want is to see him tonight.  and I know it`s not gonna happen.,1
6a02b4b9b5,_peer you ll soon be back  just replace topify email in twitter settings and that s all,1
81a218143d,  _Vincent  @ i missed the party!!!!  i bought wine and everything!!!,0
2a0463352b,that`s enough! I`ll do nothing for 2 hours.,1
fd987ed435,Surgery.,1
7162df9dd7,Wow no one loves me  ,0
50f515d454,going to london,1
49ffb6b465,**** internet jus cut me off!  was bout 2 shoot sum guys eye out  ~*~KANDI~*~,0
8fd6a28145," it`s tongue in cheek of some mentalities.There is another one which takes the piss of arabs, but its too long",0
6fcc651a1c," hahaha, as cartoon mascots go, the virl.com monster has some very nice details... a good shadow + realistic tonsils.",2
c0bf50f198,". Tickets, i need my tickets, where are my tickets. i want my ticketttttss",1
400b9a2739, Haha I should. But I won`t. lol Then I might miss something.,2
23c707b638,this is gonna sound really sad & depressing but I really really miss my uncle Sam,0
8c5bb48dcd,I feel like **** cause I couldnt sleep last night and went to sleep at 320 n bk up at 6  soooo tired!!!,0
8027499c43, I absolutely LOVE you.  Thanks,2
a164b4aeb4, http://twitpic.com/4jk42 hey Gi! look at this pic of you and frankie that i took at the southend gig!,1
13ca815d01, me to mi sausage,1
aaf786894b," aw, gutted",0
415401409,*sigh* i always disappoint people who get in my way...  everyone .. i`m OUT.. i might disappoint everyone else here..,0
7d59117a75,putting 3 new consultants to work this week. it`s a good feeling!  congrats on your offers,2
9388748d89,perfect night in nj.,2
85769c1ef2,Another HD - my lecturer was gob smacked by how good our presentation was,2
11370b4eed,its my birthday.....happy birthday to me!!!!,2
c43a87bf6b, What kind of coach would I be if I didn`t read all your tweets?    Still waiting on an non-dried afro picture.,1
1344feeaf9, thanks 4 the folow,2
dc4bd0bd4d,Currently in costa coffee  im liking this place more and more. Were sat in the business lounge. ooo were businessy today.,2
3c6d0e8b6a,just fed three very hungry stray kitties three cans or tuna. i hope they stay warm and safe tonight,2
cde06ba878,_SHeP  nope   i really want to play it aswell,1
b605bcf6ec,is working.   I am so happy my job is a radio and not anything physically exhausting....,2
de6e157ccf, doesnt work already,0
defcdff970,13 hours til i`m on a plane. Ahhh yay,2
1d06a9cc02,"oh yes, the Cavs win game5, now onto game6. it`s still danger, they HAVE to win this one either, it`s no shot for the championship",1
11bdda3f0f," wow!! you really are a pretty talented lady, most impressed",2
21d1fd0e6a,Hey #rda2009cla presentation was too large to post!  sorry   (From rules to entities: cataloguing with RDA live > http://ustre.am/2j3l),0
dd2baf580f,I realized last night that I have no idea where my PnS went to during the move... I hope it`s not lost and gone forever,1
8dde688865,selling my drumset  sad day,0
d2141d6d47, Thats great,2
84c5466055,Feels all kinds of not so well right now,0
8e2cd98874, Not Columbus but just wanted to say sorry to be missing Indiana show tomorrow. So sad  I will be in the woods with 8 GS.,0
46d631c295, i hate it,0
15d2be75e4,"I REALLY WANT TO GO TO artesia , cerritos on sunday for QUEST! LOL. imma die if i dont",1
9b600d4212,"great mood todayyyyyyyyy. Super excited for the game tonight, not so excited to be one year older (tomorrow).",2
7a6dd87e61,Well hopefully the rest of the day gets better.,2
cf9d8a0297," I think it`s going to be a LONNNGG Weekend, but not the 3 day kind.",1
2392d403d5,Smackdown is a lot more boring without Maria.,0
237bc73fb4,i messed up my back/hip. it hurts so bad,0
bbe85e3495,missin the #ia2009 guys really,1
a8dbe94316, I`m sorry darling... I`m all over the place tonight.. I didn`t mean to neglect you..,0
d4a6a44063, awww boo! I **** lovee doing all the girly thingss,2
ef6552e483, I found a link on WWE.com  http://www.wwe.com/inside/industrynews/kennedyreleased stinks!,0
e0dcf23a90,Y CANT WE ALL JUST GET ALONG,0
d3bad979c8, thats because im getting a new phone since my other phone dont work at all,1
3e90b21788, you`re welcome,1
c1ca9236b0,Aww man.  arrived. How-To Guide-less,1
8bd6e048bd,Its like I had a power nap.,1
5dbccb0df0,: eww. dislike,0
8429b2e4f7," I can`t buy, only rent!",1
c90925564e," this is really helpful,  you swear a lot, i just realized. haha.",2
fa3d011527,I hear you ...,1
198db23954,"Still @ hospital, unexpected complications",1
ed50142b2e," Oh yeah, i`m the poorest person of all. But i shouldnt joke about that, poor other people",0
0b94135524, Ever seen the tv show Dead Like Me? I died and became a grim reaper. Taking people`s souls after accidents,1
9d8a45d308,Ready for this saddenning depressing dullful upsetting dreadful weekend.,0
e6ce5c4ef7,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out,1
e444a25f44,"Getting my hair cut tomorrow or later today I should say...   excited. My swag is already on, jus turning it up!!",2
13e4b7ad5c,Constructivist learning theory - anybody? Oh wait..... there`s always wikipedia right?!,1
3bd38e51d8, No you are not having my favorite drink without me  lol,1
f07e9d3c3e,This is not a happy tweet,0
d7f97ec5f0,plus.. janessa hurt my feelings,0
5eaf154ecc,Good morning friends. Happy May Bank Holiday.,2
a8c660c984,'Mamma Who Bore Me' hat es mir echt angetan.  90210 lÃ¯Â¿Â½sst grÃ¯Â¿Â½Ã¯Â¿Â½en. ^^,1
ef877b6c71,  is easier this way in my phone... I will twittpic from my pc later on I did it this morning with p. Diddy pic,1
a58844851b, hey Padster...it`s a dirt track.  thx for the info! I got 3 miles in,2
d2da9db0e5,http://twitpic.com/4wjai - Joe`s the photographer of the family. Rehearsing is always fun. For the first couple of days it is at least.,2
88ea8d1421,"thelma & louise, Good movie.",2
99119b900f, LOL freakinggg I worse a lookse shirt and shorts and sandals and it looks like its gonna rain outside  boo yahoo wearther,0
37e52d631f, yeah....but I finish go home get changed etc etc then im off again,1
8.81E+93,_stack8 mady were did u go?  truck did u run away?,1
eadfbc1b72,_bexi I totally and completely agree,1
09d574699e, It`s becoming a very tough race. Linda is indeed very talented. But someone has to go every week.  We cut two this week.,0
5bfc188fd2, well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,2
5076063628,beach...yummy steak and catching up on `lost` with my man...lovely day,2
f5435a9e89, Good night Erin!  i wouldn`t say that this is early or that you are old.,2
3db172b537,_gurl woot,2
b269c57eb2, when we were poor and lived in Germany it was our favourite cheap Saturday. Now we have one 20min away.,2
34b385df7c,"_zero its cool, and thats good",2
028ea6ef68,I have to choose between  and _FC on Sunday and  wins. I`m shattered.  Why can`t I be healthy enough to go to both?,0
c1904e8dbd,"___ okay, i`ll finally get to meet Dia! that`s her name, right? oh geez i`ll feel so stupid if it`s not.",0
0068b3323c,_lavish i told diamond to follow you. and why u aitn share the starburst,1
882d707aca,**** it. Totally gutted I decided not to go out tonight. Roni Size is DJing,0
ea931a79d5,I`m at work,1
720e3fffc1, I dont have one here - dunno if my mom ever had one or not -,1
754ebd84b4,http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,0
3a5d56bece,Oh thank god!  so sad that I`m this happy.,1
f170caad50," the new series of the hills was on yesterday in uk , it was amazing! you looked really pretty on your birthday too.",2
9925fc78b6,    Lmao Yes its on the 27th  I get so excited lol,2
27953f5a47,I`m glad I don`t have class on Fridays. I need the break! Algebra test on Wednesday,1
a90a8fe617, I won`t b hereeeeee. Imma b in georgia  and then I`m off to LA. Grrrrrr!,1
8a5aad2a7a,I WILL CRY!!!!!!!!    I can`t believe that I lost the chat!!!,0
88e88db8df," Ouch. I used to hate it when I did that  (And then there are the irate callers who were trying to record, getting p***ed, etc)",0
e299da7d2f, we won`t be in town  email me if there is another one though.,1
7c161cca52,dog just farted  so bad.....,0
97abfda038," no, not yet  i have 3 weeks left!! :O do you have summer holidays now?",1
f0a9a55b94,"winding down, love having a low key day.",2
0c179f1308,   your picture makes me thristy EVERYDAY!,1
465037cb81,Test discovery just missed being in Py3.1,0
5f2c569776,Mikey I`m bored,0
4340f85e58,FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone,2
61e1765532,"Ugh my neck really hurts  I`m out aquatards, xox",0
683c467d2a, i tried listenin to music 4 half an hour! Tried readin a really boring book-still wide awake!,0
7e0ad1ec79,lol if i only can sTay up a few more hours.. i keep missing Tila`s lasT posTs ..,1
1211a1d91f,   too bad Vo got me sick I think  & I don`t even have meds to feel like you.,0
e2b73ce8df,wow its only 9:30,1
9bda7c0138, I agree. I danced with my dad to 'Kind & Generous' at my wedding. HUGE fan.,2
360b82ca82,i wish my blog was working properly - i have a great #followfriday blog post i wanted to showcase!,2
83eba3aadd, i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!,2
4c1897aa51,"Ugh, still sick. This Calgary cold has lasted forever.",0
2fadd27f11," nuuuuu, i totally love may, it`s the best for me cos i was born in may",2
0e5b759999,ARG! Eirtaku got hit by stupid bots. So much **** on a kid friendly site.,0
b7e17b2bde, mega burguer was my lunch yesterday,1
334906ed64,I dont associate with fake asses!,0
5a0e0c34b8,is super happy at the new interest rate.  whoop whoop.,2
fdb60f7d86,Quiet day at work 2day.Just had dinner. Whats doin out there?,1
b5540df36d, has more followers than me. I wanna be as cool as her. Follow her so that will never happen.,1
7670707697,"Woken up finally after a long night out, tea, toast and TV coming up...",1
20951ebfde, While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it!,1
cfdbb7f29e,Sensation Ocean of White Portugal: absolutely amazing  Adoreiii!,2
02e569bee0,Dosen`t Want To Go To Work Tomorrow,0
b68cee516f,is not having a good day... I havent had a good week forreal!!,0
923295751d,"I think my bicycle and I just freaked out a custodian, who wouldn`t have let me in the building if I didn`t let myself in with a key",0
edfebfc89e,Waiting for the Denver game to come on.. but i dont think their gonna win it  Lakers suck lol :p.... Come on Denver!!,1
5c2ae1e5f0,http://twitpic.com/4wuaq - another prof pic.,1
ef0ca5a8e1,At minibar... listening to politics  maybe some tech starups soon?,1
68c674acdb,"Sick, sick, sick. This sucks. i can`t even breathe properly",0
3e56c631c0,gotta go! bye twitterland!  good night! i`ll try sleep. so that i will recover easily! still sick!  bye!,1
d58d9dd604," Hey Luis, thanks!  I have Flash and my prof`s code to thank for that.  *cough*",2
4491189459, my boss. She`s moving to NYC,1
382de9c105,Bought new racquet for $145... wish this racquet will do the  half and God the rest .well despite recession things are fkin costly,0
05a786586b," in fact apparently I was your first follower, 4 before M himself. Um. *embarrassed now*",1
